dt,AverageTemperature,City,Country,Latitude,Longitude
1845-01-01,27.767,Parnaíba,Brazil,2.41S,40.98W
1845-02-01,26.268,Parnaíba,Brazil,2.41S,40.98W
1845-03-01,26.651,Parnaíba,Brazil,2.41S,40.98W
1845-04-01,26.622,Parnaíba,Brazil,2.41S,40.98W
1845-05-01,26.564,Parnaíba,Brazil,2.41S,40.98W
1845-06-01,26.415,Parnaíba,Brazil,2.41S,40.98W
1845-07-01,26.772,Parnaíba,Brazil,2.41S,40.98W
1845-08-01,26.642,Parnaíba,Brazil,2.41S,40.98W
1845-09-01,26.588,Parnaíba,Brazil,2.41S,40.98W
1845-10-01,,Parnaíba,Brazil,2.41S,40.98W
1845-11-01,,Parnaíba,Brazil,2.41S,40.98W
1845-12-01,,Parnaíba,Brazil,2.41S,40.98W
1846-01-01,28.703000000000003,Parnaíba,Brazil,2.41S,40.98W
1846-02-01,27.729,Parnaíba,Brazil,2.41S,40.98W
1846-03-01,28.224,Parnaíba,Brazil,2.41S,40.98W
1846-04-01,26.369,Parnaíba,Brazil,2.41S,40.98W
1846-05-01,26.946,Parnaíba,Brazil,2.41S,40.98W
1846-06-01,27.425,Parnaíba,Brazil,2.41S,40.98W
1846-07-01,27.324,Parnaíba,Brazil,2.41S,40.98W
1846-08-01,27.18,Parnaíba,Brazil,2.41S,40.98W
1846-09-01,26.75500000000001,Parnaíba,Brazil,2.41S,40.98W
1846-10-01,26.876,Parnaíba,Brazil,2.41S,40.98W
1846-11-01,27.651999999999997,Parnaíba,Brazil,2.41S,40.98W
1846-12-01,28.482000000000006,Parnaíba,Brazil,2.41S,40.98W
1847-01-01,27.835,Parnaíba,Brazil,2.41S,40.98W
1847-02-01,27.498,Parnaíba,Brazil,2.41S,40.98W
1847-03-01,25.816,Parnaíba,Brazil,2.41S,40.98W
1847-04-01,26.555,Parnaíba,Brazil,2.41S,40.98W
1847-05-01,26.328000000000003,Parnaíba,Brazil,2.41S,40.98W
1847-06-01,26.238000000000003,Parnaíba,Brazil,2.41S,40.98W
1847-07-01,26.71,Parnaíba,Brazil,2.41S,40.98W
1847-08-01,26.473000000000003,Parnaíba,Brazil,2.41S,40.98W
1847-09-01,26.753,Parnaíba,Brazil,2.41S,40.98W
1847-10-01,27.098000000000003,Parnaíba,Brazil,2.41S,40.98W
1847-11-01,28.122,Parnaíba,Brazil,2.41S,40.98W
1847-12-01,26.645,Parnaíba,Brazil,2.41S,40.98W
1848-01-01,26.05,Parnaíba,Brazil,2.41S,40.98W
1848-02-01,27.783,Parnaíba,Brazil,2.41S,40.98W
1848-03-01,26.572,Parnaíba,Brazil,2.41S,40.98W
1848-04-01,26.901,Parnaíba,Brazil,2.41S,40.98W
1848-05-01,26.359,Parnaíba,Brazil,2.41S,40.98W
1848-06-01,26.627,Parnaíba,Brazil,2.41S,40.98W
1848-07-01,26.929,Parnaíba,Brazil,2.41S,40.98W
1848-08-01,26.464,Parnaíba,Brazil,2.41S,40.98W
1848-09-01,26.303,Parnaíba,Brazil,2.41S,40.98W
1848-10-01,27.312,Parnaíba,Brazil,2.41S,40.98W
1848-11-01,27.647,Parnaíba,Brazil,2.41S,40.98W
1848-12-01,27.37,Parnaíba,Brazil,2.41S,40.98W
1849-01-01,27.519,Parnaíba,Brazil,2.41S,40.98W
1849-02-01,27.05,Parnaíba,Brazil,2.41S,40.98W
1849-03-01,27.304,Parnaíba,Brazil,2.41S,40.98W
1849-04-01,25.982,Parnaíba,Brazil,2.41S,40.98W
1849-05-01,26.019,Parnaíba,Brazil,2.41S,40.98W
1849-06-01,26.784,Parnaíba,Brazil,2.41S,40.98W
1849-07-01,27.026999999999997,Parnaíba,Brazil,2.41S,40.98W
1849-08-01,26.726,Parnaíba,Brazil,2.41S,40.98W
1849-09-01,26.482,Parnaíba,Brazil,2.41S,40.98W
1849-10-01,27.372,Parnaíba,Brazil,2.41S,40.98W
1849-11-01,27.991999999999997,Parnaíba,Brazil,2.41S,40.98W
1849-12-01,26.595,Parnaíba,Brazil,2.41S,40.98W
1850-01-01,26.379,Parnaíba,Brazil,2.41S,40.98W
1850-02-01,27.425,Parnaíba,Brazil,2.41S,40.98W
1850-03-01,26.726,Parnaíba,Brazil,2.41S,40.98W
1850-04-01,26.208,Parnaíba,Brazil,2.41S,40.98W
1850-05-01,26.121,Parnaíba,Brazil,2.41S,40.98W
1850-06-01,26.886999999999997,Parnaíba,Brazil,2.41S,40.98W
1850-07-01,,Parnaíba,Brazil,2.41S,40.98W
1850-08-01,26.956,Parnaíba,Brazil,2.41S,40.98W
1850-09-01,26.661,Parnaíba,Brazil,2.41S,40.98W
1850-10-01,26.719,Parnaíba,Brazil,2.41S,40.98W
1850-11-01,27.316,Parnaíba,Brazil,2.41S,40.98W
1850-12-01,27.25500000000001,Parnaíba,Brazil,2.41S,40.98W
1851-01-01,27.616999999999997,Parnaíba,Brazil,2.41S,40.98W
1851-02-01,26.827,Parnaíba,Brazil,2.41S,40.98W
1851-03-01,26.074,Parnaíba,Brazil,2.41S,40.98W
1851-04-01,26.208,Parnaíba,Brazil,2.41S,40.98W
1851-05-01,26.768,Parnaíba,Brazil,2.41S,40.98W
1851-06-01,27.023000000000003,Parnaíba,Brazil,2.41S,40.98W
1851-07-01,27.058000000000003,Parnaíba,Brazil,2.41S,40.98W
1851-08-01,26.905,Parnaíba,Brazil,2.41S,40.98W
1851-09-01,26.744,Parnaíba,Brazil,2.41S,40.98W
1851-10-01,27.303,Parnaíba,Brazil,2.41S,40.98W
1851-11-01,27.314,Parnaíba,Brazil,2.41S,40.98W
1851-12-01,27.603,Parnaíba,Brazil,2.41S,40.98W
1852-01-01,27.483,Parnaíba,Brazil,2.41S,40.98W
1852-02-01,26.522,Parnaíba,Brazil,2.41S,40.98W
1852-03-01,26.046999999999997,Parnaíba,Brazil,2.41S,40.98W
1852-04-01,26.613000000000003,Parnaíba,Brazil,2.41S,40.98W
1852-05-01,27.299,Parnaíba,Brazil,2.41S,40.98W
1852-06-01,26.723000000000003,Parnaíba,Brazil,2.41S,40.98W
1852-07-01,26.948,Parnaíba,Brazil,2.41S,40.98W
1852-08-01,26.381,Parnaíba,Brazil,2.41S,40.98W
1852-09-01,26.642,Parnaíba,Brazil,2.41S,40.98W
1852-10-01,27.118,Parnaíba,Brazil,2.41S,40.98W
1852-11-01,27.091,Parnaíba,Brazil,2.41S,40.98W
1852-12-01,28.104000000000006,Parnaíba,Brazil,2.41S,40.98W
