Doses Administered,Doses per 1000,Fully Vaccinated Population (%),Date_Time
2184789416,291.0,6.19,2021-06-07 08:00:00
2220425093,292.4,6.2,2021-06-14 07:45:07
2415712510,318.1,9.7,2021-06-15 14:53:20
2454140931,323.2,9.7,2021-06-16 14:19:06
2496809053,328.8,9.9,2021-06-17 17:33:33
2543433842,334.9,10.0,2021-06-18 14:30:57
2621055106,345.1,10.1,2021-06-20 14:31:02
2659965636,350.3,10.2,2021-06-21 14:48:39
2661320992,350.4,10.2,2021-06-22 14:30:51
2703495288,356.0,10.3,2021-06-23 14:30:57
2745905127,361.6,10.4,2021-06-24 09:19:21
2789178281,367.3,10.5,2021-06-24 14:30:48
2789869502,367.4,10.5,2021-06-25 14:31:14
2838527301,373.8,10.6,2021-06-26 14:31:46
2920795323,384.6,10.8,2021-06-27 14:30:58
2962355875,390.1,10.9,2021-06-28 14:31:08
3001136566,395.2,11.0,2021-06-30 14:31:11
3081746607,405.8,11.2,2021-07-02 05:59:42
3128764855,412.0,11.3,2021-07-02 14:31:12
3192698685,420.4,11.5,2021-07-04 14:30:44
3221372053,424.2,11.7,2021-07-06 14:30:49
3254118916,428.5,11.8,2021-07-07 14:31:07
3290293009,433.3,11.9,2021-07-08 14:31:09
3321279848,437.3,12.0,2021-07-09 14:30:47
3363937646,443.0,12.2,2021-07-10 14:31:05
3416511310,449.9,12.4,2021-07-11 14:30:46
3439775179,452.9,12.5,2021-07-13 14:31:18
3470208492,457.0,12.6,2021-07-14 14:32:01
3505642226,461.6,12.8,2021-07-15 14:30:57
3540120025,466.2,12.9,2021-07-16 14:31:07
3610625543,475.4,13.2,2021-07-17 14:30:44
3656657360,481.5,13.3,2021-07-19 14:31:22
3689687413,485.9,13.4,2021-07-20 14:33:00
3695131183,486.6,13.5,2021-07-21 14:30:58
3755683809,494.5,13.7,2021-07-22 14:31:19
3756278821,494.6,13.7,2021-07-23 14:31:22
3787026990,498.7,13.8,2021-07-24 14:31:11
3831561052,504.5,14.0,2021-07-25 14:31:18
3857093692,507.9,14.0,2021-07-26 14:31:05
3889212559,512.1,14.2,2021-07-27 14:32:34
3935491457,518.2,14.3,2021-07-28 14:32:57
3972933004,523.1,14.4,2021-07-29 14:32:55
4066651074,535.5,14.8,2021-07-30 14:30:55
4066710766,535.5,14.8,2021-07-31 14:30:56
4106018167,540.7,14.9,2021-08-02 14:31:07
4461134659,587.4,15.9,2021-08-09 14:30:58
4484472602,590.5,16.1,2021-08-11 14:31:05
4541764694,598.1,16.3,2021-08-12 14:31:05
4586460514,603.9,16.4,2021-08-13 14:31:10
4761025054,626.9,24.4,2021-08-17 14:31:33
4796646888,631.6,24.5,2021-08-18 14:31:25
4837763594,637.0,24.7,2021-08-19 14:31:18
4876818801,642.2,24.8,2021-08-21 14:31:11
4910059376,646.5,24.9,2021-08-22 14:30:48
4934496760,649.8,25.0,2021-08-23 14:31:28
4965905018,653.9,25.1,2021-08-24 14:31:06
5039879248,663.6,25.4,2021-08-25 14:31:08
5078105098,668.7,25.6,2021-08-26 14:31:30
5130003995,675.5,25.8,2021-08-27 14:30:50
5179929280,682.1,27.5,2021-08-29 14:31:10
5213175620,686.5,27.5,2021-08-30 14:30:55
5290250469,696.6,27.9,2021-08-31 14:30:57
5293537778,697.0,27.9,2021-09-01 14:31:15
5335504809,702.6,28.0,2021-09-02 14:31:27
5382754733,708.8,28.3,2021-09-03 14:31:28
5467922886,720.0,28.6,2021-09-07 14:31:02
5527948540,727.9,28.9,2021-09-08 14:31:18
5565371754,732.8,30.2,2021-09-09 14:31:01
5635296946,742.0,30.5,2021-09-10 14:31:38
5637387592,742.3,30.6,2021-09-11 14:30:58
5695177150,749.9,30.8,2021-09-12 14:31:09
5722003207,753.5,31.0,2021-09-13 14:31:20
5734786152,755.1,31.1,2021-09-14 14:31:21
5791124274,762.6,31.4,2021-09-15 14:31:01
5815245479,765.7,31.5,2021-09-17 14:31:13
5881920283,774.5,32.4,2021-09-18 14:30:59
5919917818,779.5,32.6,2021-09-20 14:31:02
5977458097,787.1,33.0,2021-09-21 14:30:58
6002833519,790.4,33.2,2021-09-22 14:30:56
6133859009,807.7,33.9,2021-09-28 14:31:18
6334850566,834.2,35.3,2021-10-04 14:31:09
6357310841,837.1,35.5,2021-10-05 14:31:06
6411663715,844.3,35.8,2021-10-07 14:31:43
6437804592,847.7,35.9,2021-10-08 14:31:01
6463418985,851.1,36.1,2021-10-09 14:30:59
6483652312,853.8,36.2,2021-10-10 14:30:55
6516688073,858.1,36.4,2021-10-11 14:31:36
6543460658,861.6,36.6,2021-10-12 14:31:17
6564396993,864.4,36.7,2021-10-13 14:31:10
6596506633,868.6,36.9,2021-10-15 14:30:55
6638293875,874.1,37.2,2021-10-16 14:30:57
6652728424,876.0,37.3,2021-10-17 14:31:17
6675238047,879.0,37.4,2021-10-19 14:31:10
6720990775,885.0,37.7,2021-10-20 14:31:08
6815409424,897.4,38.3,2021-10-23 14:31:34
6839897320,900.7,38.5,2021-10-24 14:31:37
6869244604,904.5,38.6,2021-10-26 14:31:11
6918073855,911.0,39.2,2021-10-27 14:31:48
6918224699,911.0,39.2,2021-10-28 14:31:35
6968582821,917.6,39.5,2021-10-29 14:31:18
6999096278,921.6,39.7,2021-10-30 14:31:08
7040787325,927.1,39.9,2021-11-01 14:30:58
7072361212,931.3,40.1,2021-11-02 14:30:57
7103868167,935.4,40.3,2021-11-03 14:30:53
7127910104,938.6,40.4,2021-11-04 14:31:10
7148183261,941.3,40.5,2021-11-05 14:31:05
7192322532,947.1,40.8,2021-11-06 14:31:11
7226733966,951.6,40.9,2021-11-07 14:31:46
7247579183,954.3,41.0,2021-11-08 14:31:21
7278721207,958.4,41.2,2021-11-09 14:31:20
7306942772,962.2,41.3,2021-11-10 14:31:21
7364422260,969.7,41.6,2021-11-11 14:31:07
7406144759,975.2,41.8,2021-11-13 14:31:42
7481935061,985.2,42.1,2021-11-15 14:31:22
7508600122,988.7,42.3,2021-11-16 14:31:10
7775552289,1023.9,43.7,2021-11-24 14:30:55
7776456951,1024.0,43.7,2021-11-25 14:31:19
7809694904,1028.4,43.9,2021-11-26 14:31:53
7847596187,1033.4,44.1,2021-11-27 14:31:11
7875897403,1037.1,44.2,2021-11-28 14:30:52
